序号,课程号,课程名称,开课单位,课程类型,班号,学分,起止周,上课时间,教师,备注
200,E2800080,商务中文B,光华管理学院,专业必修,1,2,1-13,星期一(第7节-第7节) 星期三(第7节-第7节),鲍千里,"PM 3:10-4:30 on Monday&PM 3:10-4:30 on Wednesday, Room 216, Guanghua building No.1"
201,334591,机器人学实验（一）,工学院,专业必修,1,3,1-16,星期二(第7节-第9节),王启宁 袁小婷,每周增加的两学时为开放实验 机，力机双主修二下上课地点：王克祯楼902
202,405702,微纳光学,物理学院,专业任选,1,3,1-16,星期一(第7节-第9节),胡小永 古英 杨起帆,研本合上
203,407771,核物理与粒子物理实验方法（二）,物理学院,专业任选,1,3,1-16,星期二(第5节-第6节) 星期五(第3节-第4节),班勇 王大勇,研本合上
204,410542,固体理论,物理学院,专业任选,1,4,1-16,星期一(第7节-第8节) 星期三(第3节-第4节),尹澜,研本合上
205,431142,热学,物理学院,专业必修,1,2,1-16,星期五(第3节-第4节),高原宁,卓越班，备用
206,431254,热学习题课,物理学院,专业必修,1,0,1-16,星期一(第10节-第11节)(单),高原宁,
207,431651,平衡态统计物理讨论班,物理学院,专业必修,1,2,1-16,星期四(第7节-第8节),李定平,排讨论教室
208,432520,固体物理习题,物理学院,专业必修,1,0,1-16,星期五(第10节-第11节)(双),吕劲,
209,433640,材料物理,物理学院,专业任选,1,3,1-16,星期一(第7节-第8节),吴孝松,周一7-9三节连上
210,433643,材料物性与器件应用,物理学院,专业任选,1,2,1-16,星期四(第3节-第4节),廖志敏,本研合上
211,1034490,材料化学,化学与分子工程学院,专业任选,1,3,1-16,星期一(第5节-第6节) 星期三(第1节-第2节)(单),孙俊良,本研合上
212,1034551,中级物理化学,化学与分子工程学院,专业任选,1,3,1-16,星期五(第7节-第8节),蒋鸿,7-9节
213,1034710,界面化学,化学与分子工程学院,专业任选,1,2,1-16,星期一(第7节-第8节),黄建滨,本研合上
214,1034980,生物物理化学,化学与分子工程学院,专业任选,1,2,1-16,星期三(第10节-第11节),唐淳 来鲁华,本研合上
215,1035250,化工制图,化学与分子工程学院,专业任选,1,2,1-16,星期二(第3节-第4节),陈庆德,
